thread,i,time
2,1,0:00.07
2,2,0:00.07
2,3,0:00.13
2,4,0:00.07
2,5,0:00.07
4,1,0:00.27
4,2,0:00.45
4,3,0:00.28
4,4,0:00.40
4,5,0:00.35
8,1,0:00.26
8,2,0:00.36
8,3,0:00.32
8,4,0:00.34
8,5,0:00.35
16,1,0:00.48
16,2,0:00.40
16,3,0:00.38
16,4,0:00.51
16,5,0:00.48
32,1,0:00.75
32,2,0:00.90
32,3,0:00.85
32,4,0:00.81
32,5,0:00.81
64,1,0:01.53
64,2,0:01.51
64,3,0:01.57
64,4,0:01.57
64,5,0:01.50
