thread,i,time
1,1,0:00.09
1,2,0:00.13
1,3,0:00.17
1,4,0:00.21
1,5,0:00.22
2,1,0:00.13
2,2,0:00.13
2,3,0:00.13
2,4,0:00.13
2,5,0:00.13
4,1,0:00.09
4,2,0:00.09
4,3,0:00.09
4,4,0:00.09
4,5,0:00.09
8,1,0:00.07
8,2,0:00.07
8,3,0:00.07
8,4,0:00.07
8,5,0:00.07
16,1,0:00.06
16,2,0:00.06
16,3,0:00.06
16,4,0:00.02
16,5,0:00.06
32,1,0:00.06
32,2,0:00.06
32,3,0:00.06
32,4,0:00.06
32,5,0:00.06
64,1,0:00.04
64,2,0:00.07
64,3,0:00.03
64,4,0:00.06
64,5,0:00.06
