thread,i,time
1,1,0:00.49
1,2,0:00.55
1,3,0:00.46
1,4,0:00.48
1,5,0:00.54
2,1,0:00.29
2,2,0:00.24
2,3,0:00.29
2,4,0:00.28
2,5,0:00.29
4,1,0:00.11
4,2,0:00.11
4,3,0:00.11
4,4,0:00.14
4,5,0:00.08
8,1,0:00.06
8,2,0:00.06
8,3,0:00.06
8,4,0:00.05
8,5,0:00.05
16,1,0:00.03
16,2,0:00.04
16,3,0:00.04
16,4,0:00.04
16,5,0:00.04
32,1,0:00.04
32,2,0:00.04
32,3,0:00.04
32,4,0:00.04
32,5,0:00.04
64,1,0:00.05
64,2,0:00.04
64,3,0:00.05
64,4,0:00.04
64,5,0:00.04

