thread,i,time
1,1,0:00.01
1,2,0:00.00
1,3,0:00.01
1,4,0:00.00
1,5,0:00.01
2,1,0:00.02
2,2,0:00.02
2,3,0:00.02
2,4,0:00.01
2,5,0:00.02
4,1,0:00.04
4,2,0:00.04
4,3,0:00.03
4,4,0:00.03
4,5,0:00.04
8,1,0:00.07
8,2,0:00.07
8,3,0:00.07
8,4,0:00.07
8,5,0:00.07
16,1,0:00.33
16,2,0:00.29
16,3,0:00.25
16,4,0:00.22
16,5,0:00.47
32,1,0:00.30
32,2,0:00.62
32,3,0:00.46
32,4,0:00.80
32,5,0:00.29
64,1,0:00.33
64,2,0:00.39
64,3,0:00.41
64,4,0:00.52
64,5,0:00.53
