thread,i,time
1,1,0:00.07
1,2,0:00.07
1,3,0:00.07
1,4,0:00.07
1,5,0:00.07
2,1,0:00.05
2,2,0:00.04
2,3,0:00.05
2,4,0:00.05
2,5,0:00.05
4,1,0:00.02
4,2,0:00.03
4,3,0:00.03
4,4,0:00.03
4,5,0:00.04
8,1,0:00.17
8,2,0:00.15
8,3,0:00.14
8,4,0:00.04
8,5,0:00.12
