thread,i,time
1,1,0:00.07
1,2,0:00.09
1,3,0:00.08
1,4,0:00.09
1,5,0:00.08
2,1,0:00.05
2,2,0:00.06
2,3,0:00.05
2,4,0:00.05
2,5,0:00.05
4,1,0:00.04
4,2,0:00.03
4,3,0:00.04
4,4,0:00.03
4,5,0:00.03
8,1,0:00.02
8,2,0:00.02
8,3,0:00.02
8,4,0:00.02
8,5,0:00.02
16,1,0:00.03
16,2,0:00.02
16,3,0:00.02
16,4,0:00.02
16,5,0:00.02
32,1,0:00.02
32,2,0:00.02
32,3,0:00.02
32,4,0:00.02
32,5,0:00.03
64,1,0:00.02
64,2,0:00.04
64,3,0:00.03
64,4,0:00.02
64,5,0:00.03
