thread,i,time
1,1,0:00.30
1,2,0:00.27
1,3,0:00.23
1,4,0:00.24
1,5,0:00.28
2,1,0:00.12
2,2,0:00.11
2,3,0:00.11
2,4,0:00.14
2,5,0:00.15
4,1,0:00.13
4,2,0:00.12
4,3,0:00.12
4,4,0:00.13
4,5,0:00.11
8,1,0:00.15
8,2,0:00.15
8,3,0:00.18
8,4,0:00.15
8,5,0:00.16
16,1,0:00.17
16,2,0:00.16
16,3,0:00.15
16,4,0:00.16
16,5,0:00.16
32,1,0:00.22
32,2,0:00.29
32,3,0:00.20
32,4,0:00.16
32,5,0:00.16
64,1,0:00.16
64,2,0:00.16
64,3,0:00.13
64,4,0:00.12
64,5,0:00.12
