thread,i,time
1,1,0:00.00
1,2,0:00.00
1,3,0:00.00
1,4,0:00.00
1,5,0:00.00
2,1,0:00.01
2,2,0:00.01
2,3,0:00.01
2,4,0:00.01
2,5,0:00.01
4,1,0:00.03
4,2,0:00.03
4,3,0:00.03
4,4,0:00.03
4,5,0:00.03
8,1,0:00.04
8,2,0:00.04
8,3,0:00.04
8,4,0:00.04
8,5,0:00.04
16,1,0:00.05
16,2,0:00.04
16,3,0:00.05
16,4,0:00.04
16,5,0:00.07
32,1,0:00.09
32,2,0:00.07
32,3,0:00.08
32,4,0:00.06
32,5,0:00.07
64,1,0:00.12
64,2,0:00.12
64,3,0:00.13
64,4,0:00.12
64,5,0:00.11
