thread,i,time
1,1,0:00.02
1,2,0:00.02
1,3,0:00.02
1,4,0:00.02
1,5,0:00.02
2,1,0:00.19
2,2,0:00.25
2,3,0:00.21
2,4,0:00.24
2,5,0:00.23
4,1,0:00.47
4,2,0:00.39
4,3,0:00.57
4,4,0:00.50
4,5,0:00.46
8,1,0:00.91
8,2,0:00.83
8,3,0:00.83
8,4,0:00.85
8,5,0:00.86
16,1,0:01.45
16,2,0:01.47
16,3,0:01.50
16,4,0:01.44
16,5,0:01.41
32,1,0:02.58
32,2,0:02.32
32,3,0:02.67
32,4,0:02.33
32,5,0:02.66
64,1,0:07.33
64,2,0:06.99
64,3,0:07.24
64,4,0:07.31
64,5,0:06.81
