thread,i,time
1,1,0:00.00
1,2,0:00.01
1,3,0:00.01
1,4,0:00.00
1,5,0:00.00
2,1,0:00.09
2,2,0:00.09
2,3,0:00.10
2,4,0:00.17
2,5,0:00.17
4,1,0:00.58
4,2,0:00.53
4,3,0:00.48
4,4,0:00.50
4,5,0:00.50
8,1,0:00.88
8,2,0:00.78
8,3,0:00.97
8,4,0:00.89
8,5,0:00.84
16,1,0:01.37
16,2,0:01.39
16,3,0:01.36
16,4,0:01.69
16,5,0:01.48
32,1,0:02.54
32,2,0:02.85
32,3,0:02.65
32,4,0:02.76
32,5,0:02.60
64,1,0:07.01
64,2,0:07.66
64,3,0:06.84
64,4,0:07.24
64,5,0:07.10
