thread,i,time
1,1,0:00.18
1,2,0:00.17
1,3,0:00.15
1,4,0:00.09
1,5,0:00.09
2,1,0:00.12
2,2,0:00.15
2,3,0:00.15
2,4,0:00.16
2,5,0:00.14
4,1,0:00.14
4,2,0:00.16
4,3,0:00.15
4,4,0:00.18
4,5,0:00.15
8,1,0:00.15
8,2,0:00.15
8,3,0:00.23
8,4,0:00.28
8,5,0:00.10
16,1,0:00.17
16,2,0:00.27
16,3,0:00.25
16,4,0:00.24
16,5,0:00.28
32,1,0:00.28
32,2,0:00.19
32,3,0:00.15
32,4,0:00.23
32,5,0:00.23
64,1,0:00.17
64,2,0:00.23
64,3,0:00.19
64,4,0:00.30
64,5,0:00.25
