thread,i,time
1,1,0:00.01
1,2,0:00.01
1,3,0:00.03
1,4,0:00.03
1,5,0:00.02
2,1,0:00.07
2,2,0:00.07
2,3,0:00.07
2,4,0:00.07
2,5,0:00.07
4,1,0:00.16
4,2,0:00.18
4,3,0:00.16
4,4,0:00.10
4,5,0:00.10
8,1,0:00.15
8,2,0:00.14
8,3,0:00.15
8,4,0:00.14
8,5,0:00.13
16,1,0:00.23
16,2,0:00.28
16,3,0:00.28
16,4,0:00.22
16,5,0:00.27
32,1,0:00.19
32,2,0:00.10
32,3,0:00.25
32,4,0:00.15
32,5,0:00.17
64,1,0:00.20
64,2,0:00.21
64,3,0:00.21
64,4,0:00.22
64,5,0:00.23
