thread,i,time
1,1,0:00.18
1,2,0:00.19
1,3,0:00.15
1,4,0:00.16
1,5,0:00.15
2,1,0:00.07
2,2,0:00.08
2,3,0:00.09
2,4,0:00.09
2,5,0:00.09
4,1,0:00.22
4,2,0:00.18
4,3,0:00.20
4,4,0:00.14
4,5,0:00.23
8,1,0:00.48
8,2,0:00.67
8,3,0:00.49
8,4,0:00.51
8,5,0:00.56
16,1,0:03.19
16,2,0:02.86
16,3,0:02.84
16,4,0:04.10
16,5,0:02.85
32,1,0:15.66
32,2,0:52.72
32,3,0:44.96
32,4,0:31.23
32,5,0:44.87
64,1,5:11.36
64,2,3:28.19
64,3,5:42.00
64,4,7:26.17
64,5,9:04.81
