thread,i,time
1,1,0:00.00
1,2,0:00.00
1,3,0:00.00
1,4,0:00.00
1,5,0:00.00
2,1,0:00.01
2,2,0:00.01
2,3,0:00.01
2,4,0:00.01
2,5,0:00.01
4,1,0:00.04
4,2,0:00.04
4,3,0:00.04
4,4,0:00.04
4,5,0:00.04
8,1,0:00.08
8,2,0:00.14
8,3,0:00.11
8,4,0:00.10
8,5,0:00.09
16,1,0:00.19
16,2,0:00.36
16,3,0:00.24
16,4,0:00.38
16,5,0:00.22
32,1,0:00.38
32,2,0:00.30
32,3,0:00.38
32,4,0:00.34
32,5,0:00.37
64,1,0:00.20
64,2,0:00.26
64,3,0:00.20
64,4,0:00.28
64,5,0:00.23
