thread,i,time
1,1,0:00.26
1,2,0:00.24
1,3,0:00.40
1,4,0:00.40
1,5,0:00.44
2,1,0:00.29
2,2,0:00.18
2,3,0:00.14
2,4,0:00.13
2,5,0:00.11
4,1,0:00.12
4,2,0:00.11
4,3,0:00.12
4,4,0:00.15
4,5,0:00.14
8,1,0:00.16
8,2,0:00.18
8,3,0:00.16
8,4,0:00.16
8,5,0:00.17
16,1,0:00.15
16,2,0:00.17
16,3,0:00.15
16,4,0:00.15
16,5,0:00.15
32,1,0:00.16
32,2,0:00.16
32,3,0:00.15
32,4,0:00.15
32,5,0:00.15
64,1,0:00.14
64,2,0:00.12
64,3,0:00.14
64,4,0:00.16
64,5,0:00.15
