thread,i,time
2,1,0:00.02
2,2,0:00.02
2,3,0:00.02
2,4,0:00.03
2,5,0:00.02
4,1,0:00.05
4,2,0:00.05
4,3,0:00.05
4,4,0:00.05
4,5,0:00.05
8,1,0:00.06
8,2,0:00.06
8,3,0:00.07
8,4,0:00.07
8,5,0:00.06
16,1,0:00.05
16,2,0:00.09
16,3,0:00.07
16,4,0:00.10
16,5,0:00.08
32,1,0:00.11
32,2,0:00.16
32,3,0:00.13
32,4,0:00.16
32,5,0:00.13
64,1,0:00.17
64,2,0:00.18
64,3,0:00.17
64,4,0:00.17
64,5,0:00.19
