thread,i,time
1,1,0:00.44
1,2,0:00.50
1,3,0:00.49
1,4,0:00.49
1,5,0:00.49
2,1,0:00.24
2,2,0:00.27
2,3,0:00.28
2,4,0:00.22
2,5,0:00.26
4,1,0:00.13
4,2,0:00.11
4,3,0:00.10
4,4,0:00.09
4,5,0:00.09
8,1,0:00.07
8,2,0:00.08
8,3,0:00.07
8,4,0:00.07
8,5,0:00.05
16,1,0:00.12
16,2,0:00.12
16,3,0:00.09
16,4,0:00.09
16,5,0:00.07
32,1,0:00.51
32,2,0:00.37
32,3,0:00.43
32,4,0:00.37
32,5,0:00.36
64,1,0:00.78
64,2,0:01.26
64,3,0:01.27
64,4,0:01.22
64,5,0:01.26
