thread,i,time
1,1,0:00.09
1,2,0:00.09
1,3,0:00.16
1,4,0:00.10
1,5,0:00.21
2,1,0:00.13
2,2,0:00.12
2,3,0:00.10
2,4,0:00.13
2,5,0:00.13
4,1,0:00.09
4,2,0:00.08
4,3,0:00.08
4,4,0:00.07
4,5,0:00.07
8,1,0:00.04
8,2,0:00.07
8,3,0:00.07
8,4,0:00.03
8,5,0:00.03
16,1,0:00.11
16,2,0:00.11
16,3,0:00.07
16,4,0:00.09
16,5,0:00.06
32,1,0:00.16
32,2,0:00.09
32,3,0:00.08
32,4,0:00.08
32,5,0:00.07
64,1,0:00.09
64,2,0:00.16
64,3,0:00.20
64,4,0:00.20
64,5,0:00.08
