thread,i,time
1,1,0:00.53
1,2,0:00.54
1,3,0:00.35
1,4,0:00.44
1,5,0:00.47
2,1,0:00.28
2,2,0:00.27
2,3,0:00.28
2,4,0:00.28
2,5,0:00.27
4,1,0:00.11
4,2,0:00.14
4,3,0:00.09
4,4,0:00.09
4,5,0:00.09
8,1,0:00.08
8,2,0:00.08
8,3,0:00.08
8,4,0:00.04
8,5,0:00.04
16,1,0:00.11
16,2,0:00.09
16,3,0:00.06
16,4,0:00.12
16,5,0:00.07
32,1,0:00.20
32,2,0:00.17
32,3,0:00.28
32,4,0:00.31
32,5,0:00.32
64,1,0:00.52
64,2,0:00.74
64,3,0:01.01
64,4,0:00.93
64,5,0:00.62
