thread,i,time
1,1,0:00.02
1,2,0:00.02
1,3,0:00.02
1,4,0:00.02
1,5,0:00.02
2,1,0:00.21
2,2,0:00.22
2,3,0:00.18
2,4,0:00.13
2,5,0:00.13
4,1,0:00.50
4,2,0:00.47
4,3,0:00.50
4,4,0:00.47
4,5,0:00.51
8,1,0:01.20
8,2,0:01.05
8,3,0:00.98
8,4,0:00.96
8,5,0:01.00
16,1,0:02.98
16,2,0:02.79
16,3,0:02.84
16,4,0:02.99
16,5,0:02.90
32,1,0:05.60
32,2,0:06.38
32,3,0:05.59
32,4,0:05.34
32,5,0:05.87
64,1,0:08.53
64,2,0:10.70
64,3,0:06.87
64,4,0:11.09
64,5,0:10.97
