thread,i,time
1,1,0:00.07
1,2,0:00.09
1,3,0:00.10
1,4,0:00.10
1,5,0:00.11
2,1,0:00.08
2,2,0:00.07
2,3,0:00.05
2,4,0:00.06
2,5,0:00.05
4,1,0:00.03
4,2,0:00.03
4,3,0:00.04
4,4,0:00.03
4,5,0:00.03
8,1,0:00.12
8,2,0:00.15
8,3,0:00.14
8,4,0:00.15
8,5,0:00.14
16,1,0:00.05
16,2,0:00.13
16,3,0:00.04
16,4,0:00.06
16,5,0:00.04
32,1,0:00.12
32,2,0:00.10
32,3,0:00.42
32,4,0:00.06
32,5,0:00.48
64,1,0:00.93
64,2,0:00.37
64,3,0:00.36
64,4,0:00.96
64,5,0:00.83
